Question,Answer
Can I cancel an order or shipment in Shiprocket? How will I get the refund for it?," You can cancel your order or shipment from the Shiprocket panel it's in any of the below statuses:     - AWB Assignment  - Pickup Scheduled  - Pickup Error  - Pickup Exception  - Label Generated  - Pick up Generated  - Pickup Rescheduled     To cancel your order or shipment, please follow the steps below:   Log in to your ShipRocket panel   Click on Orders > All Orders  Click on the Order Id of that shipment.   On the Order Details page, you'll find a ""Cancel"" button on the top-right corner of your screen.  You need to make a request to cancel your order/shipment. The same will be shared with the concerned courier partner. Once approved, your refund will be credited to your Shiprocket wallet in:    - 2-3 days if it's an order cancellation, and  -within 24 hours if it's a shipment cancellation.      Note: The refund amount will be reversed back to Shiprocket if the status gets changed after cancellation.            "
My order is in out for pickup status. Can I cancel it?," We regret to inform you that an order cannot be cancelled if it's in the ""out for pickup"" status.  "
How to reassign a return order?, Please follow the steps below to re-assign a return order:     1. Go to 'Returns' from the left menu and click on 'All Return Orders'.  2. Click on the Order ID to view complete details of your order.  3. Scroll down and click on the Re-Assign button to choose a different courier partner.        Note: This functionality is not available in Out for Pickup status.    
There are only three couriers available for return pickup. Why?," We know this one is a bummer. Don't worry! We're in the process of adding more courier partners for return pickup. We will get back to you as soon as we have more information to share.      For any other concern, please write to us at support@shiprocket.in. Thank you.  "
What happens if Quality Check fails for a Return?," If Quality Check fails during a pick-up, the return will be declined by the pickup executive.     The status of your Quality Checks can be tracked directly from your Returns Dashboard. Your buyer will be notified via email, SMS of the same. "
What is the purpose of Acknowledge Status on my return order?," When you click the Acknowledge button, you are informing us that you have received the returned products.      The following are the reasons for acknowledging returns:    Auto-restock the returned products to channel inventory.    In case you are not enabling Quality Check for returned product(s), the refund will initiate only after Acknowledgement. (To examine the sanctity of the returned product yourself)       You can individually acknowledge and restock the return by clicking on the “Acknowledge” button or you can also acknowledge the return in bulk. "
What are the modes of Refund I can offer to my customers?," There are 3 modes of refund powered by Shiprocket.       Store Credit: If the buyer has chosen Store Credit as a refund option, you can create a Discount Coupon for the amount of the refund and share it with the buyer directly from the Seller Panel.    Bank Transfer: With Bank Transfer refund mode, the buyer will enter the necessary bank details while raising the return request. You can transfer the refund amount to the provided bank account details.    Source Account: If the buyer chooses Source Account as the refund mode, you must transfer the refund amount to the same source that was used for the forward order transaction.       You can configure your Refund Settings from Settings >> Refund Settings. "
How can I auto refund a buyer?," NOTE: Currently, Auto Refund feature is only available for Shopify Channel.     Currently, you can auto refund your buyers in Store Credits only. To enable the Auto Refund settings follow the below steps:       Go to Settings> Return & Refund> Refund Settings.    Turn on the toggle for “Auto Refund in case of Store Credits”. (This will enable auto refund for Shopify Store Credits).    Your buyer will be notified via email, SMS of the refund status.       The auto refund process for QC and Non QC products triggers at different stages.     For QC Products: Auto refund will trigger at the defined Return Order Stage in settings.  For Non QC Products: Auto refund will trigger only after the order is marked Acknowledged. "
What are Buyer Communication Settings?," Shiprocket sends order notifications to your buyers at every order stage, such as Order Packed, Shipped, Out for Delivery, Delivered, etc. However, buyer communication settings are very flexible, and you can decide whether you want to notify your buyers through Shiprocket or not.      We have three different templates for order notifications for you to choose from. You can also customize your email and SMS as per your requirements.      Note: Customization is only available in Shiprocket Pro and Enterprise Plans. However, anyone can enable or disable communication settings for their buyers.  "
Can I put my company logo in email notifications?," Yes, you can! For this, you need to customize your email notifications. To know how to customize, click here "
How do I get KYC verified?," Know Your Customer, commonly known as KYC, enables us to validate the identity of its customers. You only need to do this once as a first-time customer.     Follow the steps below to know how to complete your KYC verification:     For Individual     1. Complete Your Photo Identification     For this, switch on your webcam and allow Shiprocket to take your selfie image. Make sure your selfie is clear and visible. Click on ""Save Image"" to proceed.     2. Automated Aadhaar OTP Verification or Manual KYC     a) Aadhaar OTP Verification     Simply enter your 12 digit Aadhaar number to generate an OTP. Enter this OTP to complete your KYC verification in less than 30 seconds.     b) Manual KYC     Select your document type and upload its image(s). Make sure all images are correct and belong to you. Images should be clear to read.      Finally, click on Submit and Verify Documents to proceed with your verification.         For Company     1. Select Your Company Type      2. Complete Your Photo Identification     For this, switch on your webcam and allow Shiprocket to take your selfie image. Make sure your selfie is clear and visible. Click on ""Save Image"" to proceed.     3. Automated GSTIN OTP Verification or Manual KYC     a) Automated GSTIN OTP Verification     Enter your 15-digit GST number to generate OTP for KYC verification. Enter the OTP received on your registered mobile number and verify your KYC in 30 seconds.     Note: For Sole Proprietors: You can also choose to verify your KYC using your Aadhaar details.     b) Manual KYC     Select your document type and upload its image(s). Make sure all images are correct and belong to you. Images should be clear to read.      Finally, click on Submit and Verify Documents to proceed with your verification.      Note: PAN card is mandatory if you're completing your KYC as a company.  "
What documents are required for KYC verification?," At Shiprocket, we have a simple process for KYC verification. For this, you need:     KYC For Individual: Complete your KYC by using the automated process of Aadhar OTP verification. You can also do it manually by uploading any of the two documents listed below:     - Aadhaar Card  - PAN Card  - Passport  - Voter ID Card  - Driving License      KYC For Company:      A) In case of a Sole Proprietorship business, please submit the following documents-         a. Upload your photo or selfie         b. Complete your KYC details using automated Aadhaar or GSTIN OTP verification, or using a manual method by submitting any of the two documents listed below:    - Aadhar Card  - PAN card  - DL  - Voter card  - Passport  - GST Certificate  - Company Incorporation Doc    B) In case you are registering as a Company, please submit the following documents-                a. Upload your photo or selfie               b. Complete your KYC using the GSTIN OTP verification. or using a manual method by submitting any of the two documents listed below:     - PAN Card ( Mandatory )     - GST Certificate ( all 3 pages of the GST certificate are required), or Company Incorporated Document.     We request you to upload clear documents regarding your KYC in the panel to avoid any rejection or failure.         NOTE: For manual KYC verification, it takes 2 - 3 working days to verify the documents.        To complete your KYC verification, click here. "
My KYC verification got failed. What now?," After submission of details, Shiprocket team manually checks your entries within 24 - 48 business hours & approves or rejects your application based on what they find.     Here's why your KYC verification may have failed:     1. Name on both documents does not match 2. Uploaded images are not clear 3. Uploaded photocopy image does not match with the original document image 4. Mentioned document ID is Incorrect 5. Uploaded documents are not valid ones 6. Same document image uploaded for both documents 7. Document belong to an underage person 8. Selfie is invalid      To upload your KYC documents again, click here "
How much time does it take for kyc verification in Shiprocket?," If you are submitting your documents manually, it will take 2-3 business days for KYC verification. To get your KYC done instantly, you can go with the automated Aadhaar or GSTIN OTP verification process.  "
What are the packaging tips to reduce weight errors in shipping?," Packaging tips can help you reduce weight errors in shipping. Some of these are-      The size of your package must be such that it exactly fits the product.  Make sure your packaging is well in contrast to the weight of your products.  Measure the dimensions of the package, instead of the product.   Keep a similar line of packaging for a similar category of products.  Choose a light weight packaging material.     "
How to calculate the volumetric weight of my shipment?," Determine the volumetric weight of a box:      Divide the cubic size* of the package by 5,000* (in cm) to determine the volumetric weight in kilograms. Increase the fractions of weight to the next full kilogram.      Note: *Calculate cubic size: Multiply the length of the package by its width and height (each rounded up to the nearest whole centimetre).        Determine the volumetric weight of a cylinder:      Calculate the volume by multiplying the diameter (length) of the cylinder with its width. Then, multiply that number by the height of the package to get volume.     Next, divide the volume by 5000*(in cm) to determine the volumetric weight of your shipment.      Conversion Factor:     Volumetric Divisors:             Couriers::ARAMEX         => 6000,          Couriers::FEDEX_SURFACE => 4500,          Couriers::FEDEX_SURFACE_LIGHT => 4500,          Couriers::FEDEX_SURFACE_MIN => 4500,          'default'                => 5000             "
How long does it take to resolve my order weight dispute?," Once you raise a weight dispute, it gets forwarded to our weight experts at Shiprocket. Therefore, it takes a minimum of 7 days to get back to you with a resolution.  "
Why is my amount on-hold?," When a weight discrepancy raised against a shipment, we put your wallet amount on-hold. The on-hold amount is the additional charge that the courier has applied against the discrepancy. By reserving this amount, we make sure that no one will use this amount until the dispute is resolved.           "
"Do ShipRocket’s carriers have S.L.A.’s defined for late deliveries, pick ups, etc.?"," Shiprocket indeed has defined S.L.A.’s for late deliveries, pick ups, etc.     Pickup SLA:     The pick-up S.L.A. is defined for the first attempt for pickup of your shipment.  It is 24-48 hours hours.     Delivery SLA:   Similarly, the delivery SLA ranges from 48 hours to 7 days based on different shipping zones. It is also defined for the first attempt for delivery of parcels.      Delivery SLA for different zones is mentioned below-     1.) Air  2.) Surface        Zone A - Within City - 2 days  Zone A - Within City - 2 days  Zone B - Within State - 3 days  Zone B - Within State - 3 days  Zone C - Metro to Metro - 3 days  Zone C - Metro to Metro - 5 days  Zone D - Rest of India - 5 days  Zone D - Rest of India - 7 days  Zone E - Northeast and J&K - 7 days  Zone E - Northeast and J&K - 9 days       "
"How do I check  pick up performance , processing time vis-a-vis the other sellers in Shiprocket?"," Shiprocket panel does not permit you to access other sellers' data. However, you can check your account's pickup performance directly from the Shiprocket dashboard:     1. Dashboard - Overview     Under the 'Overview' tab of your Shiprocket dashboard, you can find how many shipments in the last 30 days are still pending for pickup.      Here are some of the statuses that come under Pickup Pending status: Pickup Generated, Pickup Queued, Pickup Rescheduled, Out for Pickup, Pickup Exception, AWB Assigned, and pickup error.     If you scroll down below, you'll see an overview of your shipments by each courier. Here, you can check:     a) Pickup Unscheduled: Count of shipments in the last 30 days where the current status could be AWB assigned, Pickup Error, or label generated.  b) Pickup Scheduled: Count of shipments in the last 30 days where the current status could be Pickup Generated, Pickup Queued, Pickup Rescheduled, Out for Pickup, or Pickup Exception.      2. Dashboard - Shipments     In this dashboard, you can see how many of your shipments got picked up within 24 hours. Use this data to compare different couriers performance on different dates.      3. Dashboard - Courier     Here, you can check the above data on a more granular level for each courier partner:     a) Pickup within 24hrs: Count of shipments that got picked up in less than 24hrs.  b) Pickup within 48hrs: Count of shipments that got picked up in 24-48hrs.  c) Pickup in 48+hrs: Count of shipments that got picked in more than 48hrs.     4. Dashboard - Delays     Similarly, from the Delays dashboard, you can check your shipment's pickup pendency on different courier partners:     1 Day Delayed: Sum of shipments for which pickup is delayed by one day.  2 Days Delayed: Sum of shipments for which pickup is delayed by 2 days.  3 Days Delayed: Sum of shipments for which pickup is delayed by 3 days.  3+Days Delayed: Sum of shipments for which pickup is delayed by over 3 days.        "
"Do you have carriers who will ship perfumes, deodorants, liquid items, milk products?"," At the moment, we do not have carriers who ship these items as they are considered as dangerous/prohibited goods. To know more about DG goods, please click the link below:     Which products are prohibited/dangerous to ship via Shiprocket? "
Do I need to upload an Eway Bill for my shipment? How do I do it?," Uploading an Eway Bill is mandatory for shipping goods worth more than Rs. 50000. In Shiprocket, you can upload your Eway Bill from:       Generate Pickup popup    Ready to Ship tab    Order Details screen         Generate Pickup Popup       At the time of pickup generation, we will ask you to upload an Eway bill for your order. Here are the details you need to upload the Eway Bill:       Eway Bill number    Eway Bill (PDF format)    Eway Bill invoice       Next, click on the 'Eway Bill' button to proceed. You can then go ahead and generate a pickup for your order.      2. Ready to Ship Screen     Search for your order and scroll towards your right to find the 'Upload Eway Bill' button. Click on it to add the required details to upload your Eway Bill. Once done, you can generate a pickup for your order.      3. Order Details Screen     Click on the order ID to see complete details of your order. Here you’ll find an 'Upload Eway bill' button at the top half of your screen. Click on it to upload your Eway bill and generate your order pickup.  "
How to upload Eway Bill for an RTO shipment?, Uploading an Eway Bill for your RTO shipment is mandatory if the order value is more than Rs. 50000.      Steps to be followed:    Go to 'Shipments' from your left-menu and select RTO.    Check shipping details of your RTO order to find the 'Upload Eway Bill' button.     Click on it to upload a new Eway bill for your shipment.   
What happens if I don’t upload an Eway Bill for my RTO shipment?," Non-compliance with the Eway bill rules can result in both monetary and non-monetary loss. We, at Shiprocket or our associated courier partners, do not take any responsibility in such cases.  "
Do I need to upload Eway Bill at the time of bulk pickup generation?," Yes, if some of your orders worth more than Rs. 50000.   "
What is a pickup ID?," It's a unique ID for all of your shipments scheduled to be picked up in a day by a single courier partner. Simply click on the pickup ID to view your shipments.     Case 1: Five shipments with the same courier partner are scheduled for the following day: In this case, a single pickup ID will be generated for all five shipments.     Case 2: Five shipments are scheduled for the following day with a different courier partner: In this case, a unique pickup ID will be generated for each shipment. "
How do I find my pickup ID?," To find pickup ID, follow the steps below:     a) Log in to your account  b) Click on Orders and click on the Pickups Tab from the extended menu.  c) Here, you'll find the unique pickup ID against your scheduled pickups.  "
Can shipments be moved from one pickup ID to another?," Yes, under certain conditions, this is possible. Assume you have two pickup IDs:     SRPID-1001 - Five shipments are scheduled for pickup on the same day.  SRPID-1002 - Three shipments are scheduled for next-day pickup.     When the courier arrives to pick up the shipments with pickup SRPID - 1001, he also picks up two shipments with pickup SRPID-1002 because they were also ready at the time. In this particular case, two of the three shipments from SRPID-1002 will be moved to SRPID- 1001. "
Can I still use Manifest ID to escalate pickup delays?," No New escalations will be available on Manifest ID. To report any pickup delays, please use Pickup ID. "
What is the difference between a pickup ID and a Manifest ID?," In Shiprocket, we recently added pickup ID, which allows you to escalate pickup delays. Manifest ID will now be used to report any post-pickup disputes. "
What happens to a pickup ID if all shipments are canceled?, The pickup ID will be automatically removed from the system if all shipments in that pickup ID are canceled. 
What are the various Pick up ID statuses?, The following are the various statuses:     a) Pick up Scheduled: Pickup of shipments has been scheduled.  b) Pick up Completed: All shipments were picked up.  c) Pick up Canceled: All shipments associated with a pick up ID are canceled.  d) Partially completed: Only a few shipments were picked up from a specific pickup ID.  e) Pickup Exception: When a courier company attempted pickup but was unable to complete it due to unforeseen circumstances.        
In what circumstances can different pickup IDs be generated?," Your shipments can have two different pickup IDs if;    One is scheduled before the pickup cut-off time, and the other is scheduled after.    The pickup addresses for both shipments are different.    Both shipments are scheduled to be delivered by different courier companies.   "
What will be the role of Manifest ID?," The Manifest and Manifest ID are still valid for pickup and are required when handing shipments over to the pickup executive. Furthermore, except for pickup escalation, a Manifest ID is required to raise all other pickup-related issues. "
Will this have an impact on the pickup process in the Shiprocket mobile apps as well?," Yes, from now on, pickup escalation in Shiprocket Mobile Apps will be based on the pickup ID rather than the Manifest ID. When you raise an escalation, you'll be able to see the pickup ID. "
Can I schedule my pickup on any date?," We currently only support scheduling pickups for the next five working days. However, we are constantly updating our system, and any new changes will be communicated to you. "
Shiprocket Mobile App: How can I recharge my Shiprocket wallet?," Please follow the steps below to add money to your wallet:     1. Open your Shiprocket mobile app and go to Quick Recharge. You can also add money from the Wallet and Passbook section in the 'More' menu.   2. Select your preferred amount. Please note the minimum recharge value is Rs. 200 and the maximum recharge value is Rs. 5 lakhs.   3. Click on View Coupons to find the best deal.   4. Finally, click on Add Money to recharge your wallet.  5. You'll be redirected to our payment page where you can choose your payment method. "
Where can I check my Recharge Logs?," To see your recharge logs:      Go to the bottom bar and click on the More tab.  Here, click on Wallet & Passbook section.  Click on View Transaction History to see your recharge logs  "
What are the basic details required to start shipping with Shiprocket?," Basic steps to get started:      Fill your company details - Add your company name, website address, billing and shipping address, bank account details, etc.  Complete your KYC verification.  Add a pickup address for your shipments. It could be your home/office/warehouse, etc.  Finally, recharge your wallet and ship your order.  "
Why do I need to add my bank account details?,   We need your bank account details to transfer your COD amount.     
How to activate and deactivate courier partners?," To change your courier settings;     1. Go to the bottom menu and click on the More icon.  2. Scroll below and click on Settings. Here, click on Couriers >> Courier Companies  3. Turn the toggle on to activate a courier for your account. Turn it off if you no longer want to use a particular courier's services.  "
Shiprocket App: I want to integrate my sales channels?, Please log in your Shiprocket account via desktop or laptop to access channel integration functionality. 
How to check shipping rates for my forward order?," Use our Rate Calculator to check the shipping cost of your forward order. For this;     1. Go to the Quick Actions and click on Shipping Rate Calculator  2. You can check rates for both Domestic and International orders  3. Next, Select your order type from the drop-down.  3. Enter the required details such as Pickup Pincode, Delivery Pincode, Shipment Dead Weight, Package Dimensions, Payment Mode and Total Order Value.  4. Click on the Calculate Shipment Rate button to check your shipping rates.        "
How to add and edit customer details in Shiprocket?," You can now create a database of your customers' details in the Shiprocket App. This will let you add pre-filled information at the time of shipment creation. This is how you do it:     1. Log in to your Shiprocket App and click on the More icon >> Customers.   2. Here, click on the plus icon to add a new customer.   3. Add the required details in the field such as First Name, Last Name, Contact Number, Email, and Complete Address.  4. Next, click on Add Customers to proceed.         Note: New customer can be added from the Add Order screen too. You can also add multiple addresses for one customer.         Please follow the steps below if you want to edit an existing customer's details:     1. Go to Customers and select the customer profile you want to edit.  2. Go to the Customer Address section and click on the edit button to make changes to the current address.   3. Customer's name, email and phone number cannot be edited.              "
I have an issue with my order. How do I contact the support team?," If you are facing any issue with your order, simply click on the More icon to view your KAM or support details. You can also write to us at support@shiprocket.in. "
Can I integrate my sales channel using Shiprocket app?," Currently, you have to visit our web panel to integrate your sales channels. You can log in here "
How to manage my notifications?, Please follow the steps below to manage your notifications:     1. Click on More from the bottom menu and go to Settings  2. Scroll below to find the Notifications option. From here you can select what kind of notifications you would like to share with your teammates.   3. Enter multiple comma-separated emails and phone numbers to receive business and operations related notifications.  
Can I create a return order in Shiprocket app?," Yes, return functionality is available in both Shiprocket Android and iOS app. Please follow the steps below to create a return order:     1. Open your app and click on Add Order  2. Select Return Order to generate a pickup for your return order  3. Next, select or add your customer details and pickup address  4. Add order details such as order ID, channel, product details, category, payment mode, etc  5. Enter your package weight and dimensions  6. Select the reason for return and upload images if you have any  7. Finally, add your return order.  "
How to check shipping rates for my return order?," Use our Rate Calculator to check the shipping cost of your return order. For this;     1. Go to the Quick Actions and click on Shipping Rate Calculator  2. Next, Select your order type from the drop-down. Right now, return functionality is not available for International shipments.   3. Enter the required details such as Pickup Pincode, Delivery Pincode, Shipment Dead Weight, and Package Dimensions.   4. Click on the Calculate Shipment Rate button to check your shipping rates. "
How to add orders for my existing customers?," To add orders directly for your existing customers, please follow the steps below:     1. Go to the More section and select Customers  2. Find your customer by his/her name, email or phone number and click on Add Order to proceed.  3. Select the order type and fill in other details to create an order.  "
How does the Shiprocket barcode scanner work?," Please follow the steps below to learn how to use the barcode scanner on Shiprocket:     1. Open the Shiprocket app and select Barcode Scanner from the Quick Actions section.     2. Point your camera at the barcode on your shipping label. You can scan multiple shipping labels at once.     3. You'll be able to see all scanned AWBs below. Simply click on the order to view its details.     4. Finally, create a Manifest for your scanned AWBs. "
Shiprocket App: How to ship my local orders?," Please follow the steps below:    a) Open your app and click on Add Order from Quick Actions. Or, go to Orders from the bottom menu and click on the + icon.      b) Select Hyperlocal Order and click on Proceed.     STEP 1/3: ADD ADDRESS DETAILS        Add or Select your pickup address     Select an existing pickup address or add a new address. For this,      - Search the nearest landmark to your pickup location on the map and adjust the pin accordingly.   - Go ahead and fill in the other details such as Pickup Address Nickname, Contact Name, Contact Number, Email ID, House Number, Street Address, etc.   - Click Save to proceed.      Add or Select your Customer Address     Select an existing customer address or add a new one. For this;     - Fill in your customer contact details such as First and Last Name, Email ID, and Mobile Number.  - Next, update the delivery address on the map  - From the search bar, find your nearest landmark and pin it on the map  - Scroll below to add the complete delivery address, including the exact house number, street address, etc. Distance between selected and actual location should not be more than 200 meters.         STEP 2/3: ADD ORDER DETAILS     - Fill in your order and product details such as Order ID, Channel, Product Name, SKU, Quantity, Price, Category, etc.   - Select your payment type and click Next to proceed.        STEP 3/3: ADD PACKAGE DETAILS     - Add the actual or dead weight of your final package.  - Select the package type or add a new package.   - Enter package dimensions and click on Add Order to proceed.      "
Why should I choose local delivery?," As the name suggests, local caters to the needs of a limited geographical area. It would be a perfect choice for any seller who is in the business of:     - Grocery  - Pharmaceuticals  - Personal Care     Local couriers are capable of delivering your orders on the same day or even within hours. Sounds interesting, create an account today or log in to your registered account to know more about our local services.     "
Is my pincode serviceable for Shiprocket Local delivery?, Shiprocket Local is currently serviceable in:      Ahmedabad   Bangalore  Jaipur  Chennai  Delhi  Faridabad  Gurgaon  Hyderabad  Mumbai  Navi Mumbai  Noida  Pune        
Can I cancel my local order on Shiprocket?," Yes, you can cancel your order if it's not in the ""pickup scheduled"" status.      Our recommendation: Raise a pickup request only when your order is completely packed and ready to be shipped.   "
Is the return functionality available for local deliveries?," Sorry, return functionality is not currently available for local deliveries.  "
Shiprocket local: Do you provide same day deliveries?, Yes. Please make sure you generate your order before 9 pm to get same-day deliveries.  
Do I need to use the map for non-hyperlocal orders as well?," No, you don’t need to use the map for choosing the delivery location for non-hyperlocal orders.  "
What should I do if a courier cancels my hyperlocal order?, Please create a new order and ship it with a different courier. Thanks.  
What are the necessary steps to be fulfilled for hassle-free COD remittance?," Check the following for receiving hassle-free COD payments:     1. Your current bank account details are updated in your Shiprocket panel.  2. Your Shiprocket wallet balance is positive (applicable to our prepaid account sellers).  3. There is no freight invoice pending for more than 30 days.      Once confirmed, navigate to the More menu and select COD Remittance to view the COD order logs. "
Why did you apply additional charges for weight and RTO on my account?," Weight Charges: You will see this charge when there's a difference between the entered and charged weight shared by the courier. However, you can always raise a dispute against this discrepancy.      RTO Charges: All courier companies take a standard amount for RTO (Return to Origin) shipments.  "
Shiprocket App? What is Postpaid Remittance? How do I activate it?," The Postpaid plan is an effective way for the seller to get more transparent reconciliations, uninterrupted shipping, and benefit from a faster COD remittance process. It gives the seller more power over their money and enables them to utilize it for shipping while their COD remittance is processing.     Please follow the steps below to activate Postpaid Remittance for your account:     1. Open your app and go to Settings from the More option.  2. Click on Features and scroll below to find the Postpaid Remittance feature.  3. Turn the toggle on and upload the image of your signature.  4. Accept the agreement and click on Submit to activate Postpaid for your account.     "
Shiprocket App: How to activate Early COD?," To activate Early COD on Shiprocket App, please follow the below steps:     1. Go to the bottom menu and click on More  2. Here, click on Settings >> Remittance  3. Click on the Early COD option and select your plan to Activate Early COD for your account. "
Shiprocket App: I want to check how much COD is pending to be remitted?," To check your pending COD remittance, please follow the steps below:     1. Click on More from the bottom menu and go to COD Remittance  2. You can view your outstanding COD payments and latest transactions here.        "
Shiprocket App: How to escalate my order pickup?," If your shipment is not picked up on time, you can escalate your pickup issues as follows:     a) Open the Shiprocket App and navigate to the Shipments section in the bottom bar.     b) Move to the Pickup Scheduled tab and click the 'More' icon in the upper-right corner.     c) Next, apply for the Pickup Exception status to filter out your shipment.     Note: If your scheduled shipment was not picked up and it has been more than 24 hours since you made the pickup request, you will have the option to escalate the pickup.     d) Select the order for which you want to raise the pickup escalation. On the following screen, you'll see the Get Help button, from which you can request a pickup escalation.     e) On the Pickup Escalation screen, confirm your information and click Escalate to proceed.     f) Specify a suitable reason for escalation. Finally, review or change your phone number in order to receive a call from our support executive.       "
Shiprocket App: How to view RTO orders?," Open the Shiprocket App and navigate to Shipments from the bottom bar. Here, put a filter on RTO statuses (RTO Initiated, RTO Acknowledged, RTO Delivered, RTO_OFD, RTO_NDR and RTO in Transit) to view your RTO shipments.   "
Shiprocket App: Can I add my orders in bulk?, The bulk order processing functionality is only available in our desktop version.  
Shiprocket App: How to escalate my NDR reattempt request?," Here's how you can escalate your NDR reattempt request:     1. Open the Shiprocket App and select 'Shipments' from the bottom bar.     2. Navigate to Filters and select the ""Undelivered"" filter to view your NDR orders.     3. Choose your order and click the Get Help button to initiate a Non-Delivery escalation.     4. The 'Escalate' button is located in the bottom half of your screen.     5. Enter your remarks and escalate your reattempt request.     Important: You have 6 attempts to escalate/re-escalate an NDR reattempt request.        "
Shiprocket App: How to process an NDR shipment?," Shiprocket users can now take action on their NDR shipments directly from their mobile app. Please follow the steps below to know more:     1. Open your Shiprocket App and go to the View Shipments tab.  2. Here, filter out your ""Undelivered"" order.  3. Select your order and click on Get Help on the next screen.  4. Click on the ""Non-Delivery Escalation"" tab to take any action. You can either:     - Make a reattempt request  - Mark it RTO, or  - Contact Buyer     5. If you opt for reattempt and the reason shared by the courier company is incorrect:     a) Provide proof in the form of a chat screenshot, or upload your conversation with your buyer. You can also get a missed call from your buyer's registered mobile number on the displayed phone number. We will consider this ""missed call"" as a reattempt verification response.       6. If you opt for reattempt and the reason shared by the courier company is correct:      a) Select a reattempt date and provide the required details.         7. If you want to mark your shipment RTO:     In this case, your order will be returned to the original pickup location. You can also add remarks if you have any.      Note: Courier partners only make 3 attempts to deliver your order to the end customer post which they will mark your order as RTO.                         "
Shiprocket App: How do I initiate a POD escalation?," To raise a POD escalation, please follow the steps below:        1. Open the Shiprocket app and navigate to the 'Shipments' tab in the bottom bar.     2. Move to the 'Delivered' tab and select the shipment for which you want to escalate the POD dispute.     3. Navigate to the POD Escalation option by clicking the Get Help button.     4. Select the reason for the dispute and, if applicable, upload images.     Note: Within three days of getting the POD, you can initiate an escalation. "
Shiprocket App: What are the various pickup statuses?," The following are the five pickup stages:     a) Pickup Scheduled: The status 'Pickup Scheduled' is assigned to an order for which the Pickup Request has been generated and sent to the courier company.     b) Pickup Error: The Pickup Error status is displayed when the pickup has yet to be generated due to incorrect order details or a technical issue with the API.     c) Out for Pickup: This status is updated when the courier company arrives to pick up your parcel.     d) Pickup Exception: The status Pickup exception is displayed when a courier company attempted pickup but was unable to complete it due to unforeseen circumstances.     e) Pickup Rescheduled: The status Pickup rescheduled can be seen when the courier company was unavailable for pickup on a specific day. In this case, the pickup is automatically scheduled for the next day. "
Shiprocket App: How to add an order?," Here are the basic steps to get started:     1. Open your Shiprocket App and click on add . If you're using our iOS app then click on ""Forward Order"".  2. Select your pickup address or add a new one.  3. Add your delivery pincode, weight and dimensions of your package.   4. Select the payment type - Prepaid or COD.  5. Now add your product details. It includes your product name, per unit price, quantity, HSN, and product category. Click on Add More Products if you're sending more than one product in a package.   6. Now, click on Find Courier Partner to select your preferred courier.  7. Then add your buyer/recipient details. It includes his/her name, email id, phone number, and complete delivery address.  8. Enter Additional Details if you have any. These details are seller specific and optional to enter:     Reseller Name: You can enter the reseller name if you are shipping on someone’s behalf.  Eway Bill Number: If your shipment’s value is greater than Rs. 50000, you need to enter the Eway bill number.  GSTIN Number: If your buyer has provided his/her GSTIN, then you can enter the same here.     9. Now, click on the Ship Now button to ship your order.   10. Next, you need to request a pickup for your shipment. You can also download your label from the same pop-up.  11. Click on the Request Pickup button to download the manifest for your shipment.  "
"Shiprocket App: How do I generate an E-Way bill, and why is it required?"," Eway Bill Number: Under GST Act, It is mandatory to enter the E-Way bill number for shipping of goods from one place to another, either inter-state or intra-state and of value more than INR 50,000.       "
Shiprocket App: How to generate label and invoice for an order?," Open your Shiprocket App and go to Shipments from the bottom menu. Next, there are three ways by which you can generate label and invoice for your order:     a) Go to the order details page and scroll below to download your label and invoice.   b) Long press and select your order. Click on the purple dots to generate your label and invoice.  c) Long press and select multiple orders. Go to your top right corner and generate your label and invoice by clicking the three dots.        "
Shiprocket App: How to generate a manifest?," Here's how to generate a manifest using the Shiprocket App:     1. Open the app and select Shipments from the bottom menu.     2. Navigate to the Scheduled Pickups tab. Choose your order and then click the three dots to disclose the Generate Manifest option.     Note: To generate a manifest for multiple orders, long press and select all orders for which you want a manifest. Then, from the top-right corner of your screen, generate Manifest. "
What type of orders we can add in Shiprocket mobile app?, You can add the following orders in your Shiprocket mobile app:     Forward Order: Add a new order to deliver your products.     Return Order: Add a pickup for your return order.     Local Order: Add a new order within the range of 50 km from your pickup address.         Note: Please visit our web panel for shipping International orders.  
Shiprocket App: How to create a return order?," Follow the steps below to know how to create a return order:   1. Open your Shiprocket app and click on the Return Order tab on your homepage. If you are using our Android app, then click on the ""Create Return Shipment"" tab.   2. Start by adding the pickup details. Here, you need to add your buyer's name, address, email ID, and phone number.  3. Next, choose your delivery address. This is your office or warehouse address.   4. Select a reason for return and add images if required.  5. Next, add your product details and the weight & dimensions of the shipment.  6. Finally, click on ""Find Courier Partner"" to generate a pickup for your return order.        "
Shiprocket App: Where can I see the freight invoice?," To see your freight invoices, please follow the steps below:     1. Open your Shiprocket app and click on 'More' from the bottom menu.  2. Scroll below to find the Invoices section. Here you can see all your paid and unpaid freight invoices.  "
Shiprocket App: How to download a POD?," Please follow the steps below to download a POD from your Shiprocket app:     1. Open your app and go to Shipments from the bottom menu.  2. Filter out your shipment by selecting the delivered status.   3. Select your shipment and click on the Request POD button.   4. Once you raise the request, it will be available in the next 3-5 business days. You can download the POD from your registered email id, or by following the same steps.  "
Shiprocket App: Can I add orders in bulk?, Please log in to your account from our Web app if you wish to add orders in bulk.  
